"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",2372.10113661752
"2","member","Sunday",948.54622889887
"3","casual","Monday",2034.45110011156
"4","member","Monday",796.537057044962
"5","casual","Tuesday",1778.51091069895
"6","member","Tuesday",770.587114115432
"7","casual","Wednesday",1768.66507705899
"8","member","Wednesday",768.844610328327
"9","casual","Thursday",1772.63419988493
"10","member","Thursday",769.38713599565
"11","casual","Friday",1939.37026554645
"12","member","Friday",801.863877467264
"13","casual","Saturday",2191.58707818963
"14","member","Saturday",923.237757235174
